25,19
10,18
71,17
48,16
36,16
47,15
49,15
44,15
77,15
66,15
64,14
80,14
O,14
17,14
20,14
41,13
39,13
65,13
M,13
46,13
22,13
28,13
13,13
79,12
11,12
23,12
A,12
69,12
16,12
42,11
50,11
63,11
33,11
51,11
37,11
62,11
26,11
75,11
61,11
40,11
68,11
K,11
55,10
05,10
Y,10
73,10
56,10
29,10
27,10
D,10
01,10
L,10
E,10
15,10
02,10
J,10
60,10
72,9
W,9
53,9
18,9
14,9
Z,9
U,9
78,9
06,9
T,9
I,9
76,8
74,8
57,8
30,8
G,8
34,8
19,8
35,8
59,8
21,8
04,8
24,7
43,7
N,7
X,7
70,7
Q,7
58,7
67,7
S,7
R,7
C,7
54,6
12,6
B,6
09,6
7,6
F,6
03,6
45,6
31,6
2,6
6,5
07,5
08,5
38,5
32,5
H,4
4,4
8,4
9,3
P,3
5,3
3,3
52,3
1,2
0,1
V,1
